taxa_id,Kingdom,Phylum,Class,Orders,Family,Genus,Species,common_name,RecordsWithDenominators,NeoplasiaWithDenominators,NeoplasiaPrevalence,-,MalignancyKnown,Malignant,MalignancyPrevalence,PropMalignant,Benign,BenignPrevalence,PropBenign,--,Male,MaleNeoplasia,MaleMalignant,Female,FemaleNeoplasia,FemaleMalignant,---,RecordsFromAllSources,NeoplasiaFromAllSources,Necropsies,#Sources
1165,Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,Chamaeleo,Chamaeleo tempeli,NA,10,0,0,-,0,0,0,NA,0,0,NA,-,0,0,0,2,0,0,-,10,0,10,1
1468,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Cosmopsarus,Cosmopsarus regius,Golden-breasted Starling,53,1,0.018867925,-,1,1,0.018867925,1,0,0,0,-,18,0,0,16,1,1,-,53,1,53,12
569,Animalia,Chordata,Mammalia,Primates,Cebidae,Ateles,Ateles paniscus,Spider Monkey,16,6,0.375,-,6,2,0.125,0.333333333,4,0.25,0.666666667,-,3,0,0,11,6,2,-,16,6,16,10
2602,Animalia,Chordata,Amphibia,Anura,Hylidae,Litoria,Litoria aurea,NA,14,0,0,-,0,0,0,NA,0,0,NA,-,1,0,0,5,0,0,-,14,0,14,5
1029,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Cebuella,Cebuella pygmaea,Pygmy Marmoset,64,2,0.03125,-,2,0,0,0,2,0.03125,1,-,16,1,0,13,0,0,-,64,2,64,14
2714,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Malacochersus,Malacochersus tornieri,NA,14,1,0.071428571,-,1,1,0.071428571,1,0,0,0,-,3,0,0,7,1,1,-,14,1,14,9
226,Animalia,Chordata,Amphibia,Caudata,Ambystomatidae,Ambystoma,Ambystoma tigrinum,Tiger Salamander,20,4,0.2,-,4,2,0.1,0.5,2,0.1,0.5,-,1,0,0,7,3,2,-,20,4,20,13
4030,Animalia,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Syngnathus,Syngnathus scovelli,NA,11,0,0,-,0,0,0,NA,0,0,NA,-,0,0,0,1,0,0,-,11,0,11,3
4411,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Uroplatus,Uroplatus fimbriatus,NA,11,0,0,-,0,0,0,NA,0,0,NA,-,4,0,0,6,0,0,-,11,0,11,4
19386,Animalia,Acanthopterygii,Perciformes,Cichliformes,Cichlidae,Haplochromis,Haplochromis melanopterus,Lake Victoria Cichlid,31,0,0,-,0,0,0,NA,0,0,NA,-,3,0,0,0,0,0,-,31,0,31,1
4287,Animalia,Chordata,Reptilia,Squamata,Viperidae,Parias,Trimeresurus flavomaculatus,NA,19,1,0.052631579,-,1,1,0.052631579,1,0,0,0,-,3,0,0,7,1,1,-,19,1,19,7
1773,Animalia,Chordata,Reptilia,Squamata,Boidae,Epicrates,Epicrates monensis,NA,10,0,0,-,0,0,0,NA,0,0,NA,-,3,0,0,5,0,0,-,10,0,10,2
3251,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Phelsuma,Phelsuma flavigularis,NA,18,0,0,-,0,0,0,NA,0,0,NA,-,3,0,0,9,0,0,-,18,0,18,5
2701,Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Osphranter,Osphranter rufus,Red Kangaroo,96,9,0.09375,-,7,5,0.052083333,0.714285714,2,0.020833333,0.285714286,-,39,3,0,40,6,5,-,96,9,96,18
