"","taxa_id","Kingdom","Phylum","Class","Orders","Family","Genus","Species","common_name","RecordsWithDenominators","NeoplasiaWithDenominators","NeoplasiaPrevalence","X.","MalignancyKnown","Malignant","MalignancyPrevalence","PropMalignant","Benign","BenignPrevalence","PropBenign","X..","RecordsFromAllSources","NeoplasiaFromAllSources","Necropsies","X.Sources","X...","litter_size","litters_year","interbirth_interval","metabolic_rate","female_maturity","male_maturity","Gestation","Weaning","Infancy","birth_weight","weaning_weight","adult_weight","growth_rate","max_longevity","Male","MaleNeoplasia","MaleMalignant","Female","FemaleNeoplasia","FemaleMalignant"
"3",4,"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Damaliscus","Damaliscus pygargus",NA,13,4,0.307692308,"-",5,2,0.153846154,0.6,2,0.153846154,0.4,"-",14,5,13,7,"-",1.2,1.1,12,-1,23.241288625904,20.4063116370809,7.98816568047337,4.99671268902038,4.99671268902038,6792,21189.56,84500,0.0056,276,4,0,0,5,3,2
"44",90,"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Addax","Addax nasomaculatus","Addax",30,5,0.166666667,"-",5,4,0.133333333,0.8,1,0.033333333,0.2,"-",30,5,30,9,"-",-1,1.1,11.67,-1,35.0098619329389,-1,9.27021696252466,6.50887573964497,6.50887573964497,5600,-1,92500,-1,336,13,1,1,15,4,3
"50",98,"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Aepyceros","Aepyceros melampus",NA,25,2,0.08,"-",2,2,0.08,1,0,0,0,"-",25,2,25,3,"-",0.98,1.1,12,-1,14.9901380670611,12.9848783694938,6.50887573964497,5.48980933596318,5.48980933596318,5550,15900,52500,0.0043,307.2,7,1,1,15,1,1
"82",147,"Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Alces","Alces alces",NA,15,0,0,"-",0,0,0,NA,0,0,NA,"-",15,0,15,1,"-",1.3,1.235,12,-1,24.6877054569362,20.1183431952663,7.98816568047337,3.28731097961867,3.28731097961867,12844,94000,386000,0.0039,324,0,0,0,0,0,0
"242",407,"Animalia","Chordata","Mammalia",NA,"Antilocapridae","Antilocapra","Antilocapra americana","Peninsular Pronghorn",38,3,0.078947368,"-",2,2,0.052631579,1,0,0,0,"-",38,3,38,8,"-",1.93,-1,12,8960,17.9815910585141,17.9815910585141,7.72518080210388,2.99145299145299,2.99145299145299,3000,8900,46100,0.0083,186,9,2,2,8,0,0
"408",727,"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos taurus","Cattle",12,1,0.083333333,"-",2,1,0.083333333,1,0,0,0,"-",13,2,12,8,"-",-1,-1,-1,-1,18.0144641683103,24.8241288625904,9.10585141354372,6.00394477317554,6.00394477317554,10433,-1,750000,0.0031,240,2,0,0,5,1,1
"551",949,"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Capra","Capra falconeri",NA,13,3,0.230769231,"-",3,1,0.076923077,0.333333333,2,0.153846154,0.666666667,"-",13,3,13,4,"-",1.73,-1,-1,-1,24.4904667981591,33.3662064431295,5.35831689677843,5.48980933596318,5.48980933596318,-1,-1,41000,-1,229.2,4,1,0,8,2,1
"552",950,"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Capra","Capra hircus","San Clemente Goat",117,37,0.316239316,"-",46,16,0.136752137,0.47826087,20,0.170940171,0.52173913,"-",127,47,117,29,"-",1.5,1.1,14.83,-1,13.3464825772518,22.5180802103879,5.09533201840894,5.25969756738987,5.25969756738987,2250,-1,61000,0.0041,249.6,51,18,8,51,17,7
"554",952,"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Capra","Capra nubiana","Nubian Ibex",35,1,0.028571429,"-",1,0,0,0,1,0.028571429,1,"-",35,1,35,3,"-",1.11,0.8,1.41889117,-1,26.8826429980276,41.2886259040105,4.93096646942801,7.50394477317554,7.50394477317554,2791.43,15691.695,46250,-1,268.8,9,0,0,24,1,0
"611",1070,"Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Cephalophus","Cephalophus silvicultor",NA,13,3,0.230769231,"-",3,2,0.153846154,0.666666667,1,0.076923077,0.333333333,"-",13,3,13,7,"-",-1,1.2,10.06,-1,-1,-1,5.42406311637081,1.2491781722551,1.2491781722551,2400,20512.5,62000,-1,270,6,2,2,7,1,0
